"District Number","District Name","School Number",School Name," State and Local Funds "," Federal Funds "," State, Local and Federal Funds "," State and Local Funds "," Federal
Funds "," State, Local and Federal Funds "," Total Costs - State, Local and Federal Funds Per Pupil "
37,Leon,0231,JOHN G RILEY ELEMENTARY SCHOOL                                                                      ,"  6,152 ",  919 ,"  7,071 ",  384 ,  33 ,  417 ,"  7,488 "
37,Leon,0311,PINEVIEW ELEMENTARY SCHOOL                                                                          ,"  8,274 ","  1,031 ","  9,305 ",  448 ,  39 ,  487 ,"  9,792 "
37,Leon,0381,GILCHRIST ELEMENTARY SCHOOL                                                                         ,"  6,534 ",  268 ,"  6,802 ",  414 ,  24 ,  438 ,"  7,240 "
37,Leon,0401,ASTORIA PARK ELEMENTARY SCHOOL                                                                      ,"  6,602 ",  790 ,"  7,392 ",  379 ,  30 ,  409 ,"  7,801 "
37,Leon,0421,W T MOORE ELEMENTARY SCHOOL                                                                         ,"  6,726 ",  303 ,"  7,029 ",  416 ,  22 ,  438 ,"  7,467 "
37,Leon,0431,SEALEY ELEMENTARY SCHOOL                                                                            ,"  7,359 ",  988 ,"  8,347 ",  446 ,  40 ,  486 ,"  8,833 "
37,Leon,0441,APALACHEE ELEMENTARY SCHOOL                                                                         ,"  6,868 ",  641 ,"  7,509 ",  453 ,  16 ,  469 ,"  7,978 "
37,Leon,0481,KILLEARN LAKES ELEMENTARY SCHOOL                                                                    ,"  6,906 ",  214 ,"  7,120 ",  396 ,  21 ,  417 ,"  7,537 "
37,Leon,0491,CHAIRES ELEMENTARY SCHOOL                                                                           ,"  7,797 ",  799 ,"  8,596 ",  471 ,  41 ,  512 ,"  9,108 "
37,Leon,0501,SPRINGWOOD ELEMENTARY SCHOOL                                                                        ,"  6,774 ",  863 ,"  7,637 ",  423 ,  38 ,  461 ,"  8,098 "
37,Leon,0511,DESOTO TRAIL ELEMENTARY SCHOOL                                                                      ,"  6,879 ",  354 ,"  7,233 ",  408 ,  22 ,  430 ,"  7,663 "
37,Leon,0521,BUCK LAKE ELEMENTARY SCHOOL                                                                         ,"  6,768 ",  351 ,"  7,119 ",  391 ,  21 ,  412 ,"  7,531 "
37,Leon,1131,HAWKS RISE ELEMENTARY SCHOOL                                                                        ,"  6,675 ",  321 ,"  6,996 ",  400 ,  21 ,  421 ,"  7,417 "
37,Leon,1161,CANOPY OAKS ELEMENTARY SCHOOL                                                                       ,"  6,685 ",  241 ,"  6,926 ",  420 ,  22 ,  442 ,"  7,368 "
37,Leon,1171,ROBERTS ELEMENTARY SCHOOL                                                                           ,"  7,017 ",  443 ,"  7,460 ",  411 ,  21 ,  432 ,"  7,892 "
37,Leon,1181,BOND ELEMENTARY SCHOOL                                                                              ,"  6,706 ",  787 ,"  7,493 ",  396 ,  38 ,  434 ,"  7,927 "
37,Leon,1202,J MICHAEL CONLEY ELEMENTARY SCHOOL AT SOUTHWOOD                                                     ,"  6,352 ",  262 ,"  6,614 ",  407 ,  23 ,  430 ,"  7,044 "
37,Leon,0032,ELIZABETH COBB MIDDLE SCHOOL                                                                        ,"  5,905 ",  219 ,"  6,124 ",  344 ,  20 ,  364 ,"  6,488 "
37,Leon,0092,RAA MIDDLE SCHOOL                                                                                   ,"  6,358 ",  252 ,"  6,610 ",  362 ,  19 ,  381 ,"  6,991 "
37,Leon,0222,GRIFFIN MIDDLE SCHOOL                                                                               ,"  7,236 ",  953 ,"  8,189 ",  404 ,  38 ,  442 ,"  8,631 "
37,Leon,0291,R. FRANK NIMS MIDDLE SCHOOL                                                                         ,"  6,866 ",  810 ,"  7,676 ",  389 ,  37 ,  426 ,"  8,102 "
37,Leon,0451,FAIRVIEW MIDDLE SCHOOL                                                                              ,"  5,877 ",  813 ,"  6,690 ",  348 ,  33 ,  381 ,"  7,071 "
37,Leon,0531,DEERLAKE MIDDLE SCHOOL                                                                              ,"  6,197 ",  187 ,"  6,384 ",  314 ,  16 ,  330 ,"  6,714 "
37,Leon,1151,SWIFT CREEK MIDDLE SCHOOL                                                                           ,"  6,285 ",  214 ,"  6,499 ",  341 ,  17 ,  358 ,"  6,857 "
37,Leon,1201,WILLIAM J MONTFORD III MIDDLE SCHOOL                                                                ,"  5,986 ",  257 ,"  6,243 ",  322 ,  16 ,  338 ,"  6,581 "
37,Leon,1211,SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER                                                         ,"  7,771 ",  646 ,"  8,417 ",  362 ,  14 ,  376 ,"  8,793 "
37,Leon,1503,PACE CENTER FOR GIRLS                                                                               ,"  5,915 ",  -   ,"  5,915 ",  63 ,  -   ,  63 ,"  5,978 "
37,Leon,7004,LEON COUNTY VIRTUAL SCHOOL FRANCHISE                                                                ,"  21,451 ",  64 ,"  21,515 ",  -   ,  8 ,  8 ,"  21,523 "
37,Leon,0021,LEON HIGH SCHOOL                                                                                    ,"  5,349 ",  198 ,"  5,547 ",  291 ,  15 ,  306 ,"  5,853 "
37,Leon,0051,JAMES RICKARDS HIGH SCHOOL                                                                          ,"  6,487 ",  713 ,"  7,200 ",  329 ,  32 ,  361 ,"  7,561 "
37,Leon,0161,AMOS P. GODBY HIGH SCHOOL                                                                           ,"  5,882 ",  626 ,"  6,508 ",  339 ,  31 ,  370 ,"  6,878 "
37,Leon,0204,SAIL                                                                                                ,"  7,727 ",  261 ,"  7,988 ",  404 ,  18 ,  422 ,"  8,410 "
37,Leon,1091,LINCOLN HIGH SCHOOL                                                                                 ,"  5,523 ",  245 ,"  5,768 ",  290 ,  15 ,  305 ,"  6,073 "
37,Leon,1141,LAWTON CHILES HIGH SCHOOL                                                                           ,"  5,739 ",  207 ,"  5,946 ",  287 ,  14 ,  301 ,"  6,247 "
37,Leon,0131,WOODVILLE ELEMENTARY SCHOOL                                                                         ,"  7,089 ",  714 ,"  7,803 ",  424 ,  33 ,  457 ,"  8,260 "
37,Leon,0411,GRETCHEN EVERHART SCHOOL                                                                            ,"  23,727 ","  3,502 ","  27,229 ","  1,100 ",  59 ,"  1,159 ","  28,388 "
37,Leon,0452,HERITAGE TRAILS COMMUNITY SCHOOL                                                                    ,"  28,733 ","  9,813 ","  38,546 ","  1,259 ",  67 ,"  1,326 ","  39,872 "
37,Leon,0561,FORT BRADEN SCHOOL                                                                                  ,"  6,299 ",  799 ,"  7,098 ",  391 ,  35 ,  426 ,"  7,524 "
37,Leon,1402,THE SCHOOL OF ARTS AND SCIENCE ON THOMASVILLE                                                       ,"  7,542 ",  -   ,"  7,542 ",  -   ,  -   ,  -   ,"  7,542 "
37,Leon,1425,TALLAHASSEE SCHOOL OF MATH & SCIENCE                                                                ,"  5,445 ",  568 ,"  6,013 ",  -   ,  -   ,  -   ,"  6,013 "
37,Leon,1441,GOVERNOR'S CHARTER SCHOOL                                                                           ,"  8,014 ",  251 ,"  8,265 ",  -   ,  -   ,  -   ,"  8,265 "
37,Leon,1444,THE SCHOOL OF ARTS & SCIENCE CENTRE                                                                 ,"  7,261 ",  -   ,"  7,261 ",  -   ,  -   ,  -   ,"  7,261 "
38,Levy,0092,JOYCE M. BULLOCK ELEMENTARY SCHOOL                                                                  ,"  7,388 ",  826 ,"  8,214 ",  499 ,  -   ,  499 ,"  8,713 "
38,Levy,0231,WILLISTON ELEMENTARY SCHOOL                                                                         ,"  6,621 ",  758 ,"  7,379 ",  477 ,  -   ,  477 ,"  7,856 "
38,Levy,0241,CHIEFLAND ELEMENTARY SCHOOL                                                                         ,"  6,164 ",  744 ,"  6,908 ",  437 ,  -   ,  437 ,"  7,345 "
38,Levy,1011,BRONSON ELEMENTARY SCHOOL                                                                           ,"  6,537 ",  721 ,"  7,258 ",  469 ,  -   ,  469 ,"  7,727 "
38,Levy,0021,BRONSON MIDDLE/HIGH SCHOOL                                                                          ,"  7,353 ",  853 ,"  8,206 ",  442 ,  -   ,  442 ,"  8,648 "
38,Levy,0051,CHIEFLAND MIDDLE HIGH SCHOOL                                                                        ,"  6,626 ",  648 ,"  7,274 ",  414 ,  -   ,  414 ,"  7,688 "
38,Levy,0091,WILLISTON MIDDLE HIGH SCHOOL                                                                        ,"  6,209 ",  470 ,"  6,679 ",  390 ,  -   ,  390 ,"  7,069 "
38,Levy,0023,LEVY LEARNING ACADEMY                                                                               ,"  20,954 ","  3,873 ","  24,827 ","  1,367 ",  -   ,"  1,367 ","  26,194 "
38,Levy,0041,CEDAR KEY HIGH SCHOOL                                                                               ,"  9,149 ",  903 ,"  10,052 ",  629 ,  -   ,  629 ,"  10,681 "
38,Levy,0111,YANKEETOWN SCHOOL                                                                                   ,"  8,078 ",  708 ,"  8,786 ",  490 ,  -   ,  490 ,"  9,276 "
38,Levy,0060,WHISPERING WINDS CHARTER SCHOOL                                                                     ,"  7,405 ",  318 ,"  7,723 ",  -   ,  -   ,  -   ,"  7,723 "
38,Levy,0062,NATURE COAST MIDDLE SCHOOL                                                                          ,"  7,108 ",  535 ,"  7,643 ",  -   ,  -   ,  -   ,"  7,643 "
39,Liberty,0021,LIBERTY COUNTY HIGH SCHOOL                                                                          ,"  9,014 ",  282 ,"  9,296 ","  1,322 ",  185 ,"  1,507 ","  10,803 "
39,Liberty,0031,W. R. TOLAR K-8 SCHOOL                                                                              ,"  6,954 ",  716 ,"  7,670 ","  1,326 ",  198 ,"  1,524 ","  9,194 "
39,Liberty,0041,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,"  6,545 ",  406 ,"  6,951 ","  1,154 ",  170 ,"  1,324 ","  8,275 "
40,Madison,0091,GREENVILLE ELEMENTARY SCHOOL                                                                        ,"  6,970 ",  610 ,"  7,580 ",  912 ,  17 ,  929 ,"  8,509 "
40,Madison,0101,LEE ELEMENTARY SCHOOL                                                                               ,"  6,530 ",  404 ,"  6,934 ",  810 ,  22 ,  832 ,"  7,766 "
40,Madison,0111,PINETTA ELEMENTARY SCHOOL                                                                           ,"  5,883 ",  516 ,"  6,399 ",  779 ,  15 ,  794 ,"  7,193 "
40,Madison,0011,MADISON COUNTY HIGH SCHOOL                                                                          ,"  7,389 ",  834 ,"  8,223 ",  731 ,  39 ,  770 ,"  8,993 "
40,Madison,0950,MADISON COUNTY EXCEL ALTERNATIVE EDUCATION CENTER                                                   ,"  5,885 ",  -   ,"  5,885 ",  573 ,  -   ,  573 ,"  6,458 "
40,Madison,0041,MADISON COUNTY CENTRAL SCHOOL                                                                       ,"  6,417 ","  1,750 ","  8,167 ",  923 ,  74 ,  997 ,"  9,164 "
40,Madison,0121,JAMES MADISON PREPARATORY CHARTER HIGH SCHOOL                                                       ,"  6,080 ",  -   ,"  6,080 ",  -   ,  -   ,  -   ,"  6,080 "
40,Madison,0122,MADISON CREATIVE ARTS ACADEMY INC                                                                   ,"  6,186 ","  1,341 ","  7,527 ",  -   ,  -   ,  -   ,"  7,527 "
41,Manatee,0031,ANNA MARIA ELEMENTARY SCHOOL                                                                        ,"  9,558 ",  367 ,"  9,925 ",  269 ,  4 ,  273 ,"  10,198 "
41,Manatee,0051,BALLARD ELEMENTARY SCHOOL                                                                           ,"  8,611 ","  1,728 ","  10,339 ",  274 ,  28 ,  302 ,"  10,641 "
41,Manatee,0061,BAYSHORE ELEMENTARY SCHOOL                                                                          ,"  7,879 ","  1,379 ","  9,258 ",  264 ,  28 ,  292 ,"  9,550 "
41,Manatee,0151,MANATEE ELEMENTARY SCHOOL                                                                           ,"  8,749 ","  1,436 ","  10,185 ",  289 ,  30 ,  319 ,"  10,504 "
41,Manatee,0221,JESSIE P. MILLER ELEMENTARY SCHOOL                                                                  ,"  7,447 ",  602 ,"  8,049 ",  266 ,  28 ,  294 ,"  8,343 "
41,Manatee,0231,MYAKKA CITY ELEMENTARY SCHOOL                                                                       ,"  9,611 ",  196 ,"  9,807 ",  243 ,  2 ,  245 ,"  10,052 "
41,Manatee,0261,ONECO ELEMENTARY SCHOOL                                                                             ,"  8,063 ","  1,655 ","  9,718 ",  264 ,  28 ,  292 ,"  10,010 "
41,Manatee,0271,G D ROGERS GARDEN- BULLOCK ELEMENTARY                                                               ,"  10,388 ","  2,357 ","  12,745 ",  339 ,  37 ,  376 ,"  13,121 "
41,Manatee,0281,PALM VIEW ELEMENTARY SCHOOL                                                                         ,"  9,784 ","  2,057 ","  11,841 ",  284 ,  30 ,  314 ,"  12,155 "
41,Manatee,0291,PALMA SOLA ELEMENTARY SCHOOL                                                                        ,"  7,932 ",  264 ,"  8,196 ",  249 ,  3 ,  252 ,"  8,448 "
41,Manatee,0301,PALMETTO ELEMENTARY SCHOOL                                                                          ,"  8,147 ","  1,587 ","  9,734 ",  278 ,  29 ,  307 ,"  10,041 "
41,Manatee,0381,ROBERT H. PRINE ELEMENTARY SCHOOL                                                                   ,"  8,142 ","  1,398 ","  9,540 ",  277 ,  28 ,  305 ,"  9,845 "
41,Manatee,0411,BLANCHE H. DAUGHTREY ELEMENTARY                                                                     ,"  7,051 ","  1,998 ","  9,049 ",  263 ,  27 ,  290 ,"  9,339 "
41,Manatee,0421,SAMOSET ELEMENTARY SCHOOL                                                                           ,"  7,668 ","  1,315 ","  8,983 ",  253 ,  26 ,  279 ,"  9,262 "
41,Manatee,0521,JAMES TILLMAN ELEMENTARY MAGNET SCHOOL                                                              ,"  8,448 ","  1,337 ","  9,785 ",  264 ,  28 ,  292 ,"  10,077 "
41,Manatee,0541,BLACKBURN ELEMENTARY SCHOOL                                                                         ,"  9,156 ","  1,051 ","  10,207 ",  300 ,  32 ,  332 ,"  10,539 "
41,Manatee,0571,FRANCES WAKELAND ELEMENTARY SCHOOL                                                                  ,"  9,073 ",  558 ,"  9,631 ",  295 ,  30 ,  325 ,"  9,956 "
41,Manatee,0601,H. S. MOODY ELEMENTARY SCHOOL                                                                       ,"  7,526 ","  1,163 ","  8,689 ",  267 ,  28 ,  295 ,"  8,984 "
41,Manatee,0621,FLORINE J ABEL ELEMENTARY SCHOOL                                                                    ,"  8,092 ","  1,118 ","  9,210 ",  275 ,  29 ,  304 ,"  9,514 "
41,Manatee,0631,IDA M. STEWART ELEMENTARY SCHOOL                                                                    ,"  9,880 ",  394 ,"  10,274 ",  291 ,  5 ,  296 ,"  10,570 "
41,Manatee,0641,WILLIAM H. BASHAW ELEMENTARY                                                                        ,"  8,658 ",  429 ,"  9,087 ",  270 ,  5 ,  275 ,"  9,362 "
41,Manatee,0651,BRADEN RIVER ELEMENTARY SCHOOL                                                                      ,"  8,235 ",  314 ,"  8,549 ",  264 ,  4 ,  268 ,"  8,817 "
41,Manatee,0671,SEA BREEZE ELEMENTARY SCHOOL                                                                        ,"  8,794 ",  993 ,"  9,787 ",  294 ,  32 ,  326 ,"  10,113 "
41,Manatee,0681,TARA ELEMENTARY SCHOOL                                                                              ,"  7,712 ",  339 ,"  8,051 ",  252 ,  3 ,  255 ,"  8,306 "
41,Manatee,0701,GENE WITT ELEMENTARY SCHOOL                                                                         ,"  7,802 ",  259 ,"  8,061 ",  250 ,  4 ,  254 ,"  8,315 "
41,Manatee,0741,KINNAN ELEMENTARY SCHOOL                                                                            ,"  8,316 ",  637 ,"  8,953 ",  283 ,  30 ,  313 ,"  9,266 "
41,Manatee,0771,GILBERT W MCNEAL ELEMENTARY SCHOOL                                                                  ,"  7,677 ",  262 ,"  7,939 ",  261 ,  3 ,  264 ,"  8,203 "
41,Manatee,0781,FREEDOM ELEMENTARY SCHOOL                                                                           ,"  7,660 ",  310 ,"  7,970 ",  260 ,  4 ,  264 ,"  8,234 "
41,Manatee,0791,VIRGIL MILLS ELEMENTARY SCHOOL                                                                      ,"  6,514 ",  206 ,"  6,720 ",  239 ,  3 ,  242 ,"  6,962 "
41,Manatee,0801,ROBERT WILLIS ELEMENTARY SCHOOL                                                                     ,"  7,150 ",  223 ,"  7,373 ",  246 ,  3 ,  249 ,"  7,622 "
41,Manatee,0811,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL                                                               ,"  7,129 ",  213 ,"  7,342 ",  241 ,  3 ,  244 ,"  7,586 "
41,Manatee,0821,B.D. GULLETT ELEMENTARY SCHOOL                                                                      ,"  6,414 ",  163 ,"  6,577 ",  227 ,  2 ,  229 ,"  6,806 "
41,Manatee,2019,JUST FOR GIRLS                                                                                      ,"  6,034 ","  1,031 ","  7,065 ",  41 ,  4 ,  45 ,"  7,110 "
41,Manatee,0491,LINCOLN MIDDLE SCHOOL                                                                               ,"  8,633 ","  1,283 ","  9,916 ",  247 ,  26 ,  273 ,"  10,189 "
41,Manatee,0581,W. D. SUGG MIDDLE SCHOOL                                                                            ,"  6,933 ","  1,134 ","  8,067 ",  228 ,  23 ,  251 ,"  8,318 "
41,Manatee,0611,MARTHA B. KING MIDDLE SCHOOL                                                                        ,"  6,179 ",  229 ,"  6,408 ",  214 ,  3 ,  217 ,"  6,625 "
41,Manatee,0652,BRADEN RIVER MIDDLE SCHOOL                                                                          ,"  6,233 ",  260 ,"  6,493 ",  216 ,  3 ,  219 ,"  6,712 "
41,Manatee,0691,LOUISE R. JOHNSON MIDDLE SCHOOL                                                                     ,"  7,948 ",  171 ,"  8,119 ",  230 ,  3 ,  233 ,"  8,352 "
41,Manatee,0711,CARLOS E. HAILE MIDDLE SCHOOL                                                                       ,"  5,757 ",  193 ,"  5,950 ",  190 ,  3 ,  193 ,"  6,143 "
41,Manatee,0752,R. DAN NOLAN MIDDLE SCHOOL                                                                          ,"  5,768 ",  179 ,"  5,947 ",  201 ,  3 ,  204 ,"  6,151 "
41,Manatee,0761,ELECTA LEE MAGNET MIDDLE SCHOOL                                                                     ,"  6,320 ","  1,098 ","  7,418 ",  220 ,  22 ,  242 ,"  7,660 "
41,Manatee,0842,BUFFALO CREEK MIDDLE SCHOOL                                                                         ,"  6,394 ",  205 ,"  6,599 ",  214 ,  2 ,  216 ,"  6,815 "
41,Manatee,2007,JUST FOR GIRLS                                                                                      ,"  5,923 ",  5 ,"  5,928 ",  86 ,  -   ,  86 ,"  6,014 "
41,Manatee,2004,PACE CENTER FOR GIRLS                                                                               ,"  5,991 ",  2 ,"  5,993 ",  48 ,  -   ,  48 ,"  6,041 "
41,Manatee,2063,PALMETTO YOUTH ACADEMY                                                                              ,"  6,005 ",  7 ,"  6,012 ",  55 ,  -   ,  55 ,"  6,067 "
41,Manatee,2081,AMIKIDS MANATEE                                                                                     ,"  6,051 ",  4 ,"  6,055 ",  86 ,  -   ,  86 ,"  6,141 "
41,Manatee,0072,BAYSHORE HIGH SCHOOL                                                                                ,"  6,806 ",  672 ,"  7,478 ",  205 ,  20 ,  225 ,"  7,703 "
41,Manatee,0181,MANATEE HIGH SCHOOL                                                                                 ,"  6,357 ",  251 ,"  6,608 ",  193 ,  2 ,  195 ,"  6,803 "
41,Manatee,0351,PALMETTO HIGH SCHOOL                                                                                ,"  6,062 ",  258 ,"  6,320 ",  191 ,  2 ,  193 ,"  6,513 "
41,Manatee,0431,SOUTHEAST HIGH SCHOOL                                                                               ,"  6,819 ",  280 ,"  7,099 ",  200 ,  2 ,  202 ,"  7,301 "
41,Manatee,0721,LAKEWOOD RANCH HIGH SCHOOL                                                                          ,"  5,959 ",  210 ,"  6,169 ",  180 ,  2 ,  182 ,"  6,351 "
41,Manatee,0762,BRADEN RIVER HIGH SCHOOL                                                                            ,"  5,958 ",  204 ,"  6,162 ",  191 ,  2 ,  193 ,"  6,355 "
41,Manatee,2011,ACCESS TO EDUCATION                                                                                 ,"  21,383 ","  7,205 ","  28,588 ",  822 ,  38 ,  860 ,"  29,448 "
41,Manatee,7004,MANATEE VIRTUAL SCHOOL ( VIRTUAL FRANCHISE)                                                         ,"  7,355 ",  11 ,"  7,366 ",  259 ,  -   ,  259 ,"  7,625 "
41,Manatee,0731,HORIZONS ACADEMY                                                                                    ,"  18,685 ",  483 ,"  19,168 ",  451 ,  5 ,  456 ,"  19,624 "
41,Manatee,2101,MANATEE SCHOOL OF ARTS/SCIENCES                                                                     ,"  6,740 ",  -   ,"  6,740 ",  -   ,  -   ,  -   ,"  6,740 "
41,Manatee,2161,VISIBLE MEN ACADEMY                                                                                 ,"  15,580 ","  1,416 ","  16,996 ",  -   ,  -   ,  -   ,"  16,996 "
41,Manatee,2120,ROWLETT MIDDLE ACADEMY                                                                              ,"  10,588 ","  1,658 ","  12,246 ",  -   ,  -   ,  -   ,"  12,246 "
41,Manatee,2122,OASIS MIDDLE SCHOOL                                                                                 ,"  6,345 ",  918 ,"  7,263 ",  -   ,  -   ,  -   ,"  7,263 "
41,Manatee,2104,MANATEE SCHOOL FOR THE ARTS                                                                         ,"  6,811 ",  -   ,"  6,811 ",  -   ,  -   ,  -   ,"  6,811 "
41,Manatee,2141,STATE COLLEGE OF FLORIDA COLLEGIATE SCHOOL                                                          ,"  5,801 ",  18 ,"  5,819 ",  -   ,  -   ,  -   ,"  5,819 "
41,Manatee,2102,TEAM SUCCESS A SCHOOL OF EXCELLENCE                                                                 ,"  8,518 ",  810 ,"  9,328 ",  -   ,  -   ,  -   ,"  9,328 "
41,Manatee,2121,MANATEE CHARTER SCHOOL                                                                              ,"  7,841 ","  1,262 ","  9,103 ",  -   ,  -   ,  -   ,"  9,103 "
41,Manatee,2123,IMAGINE CHARTER SCHOOL AT NORTH MANATEE                                                             ,"  7,965 ",  -   ,"  7,965 ",  -   ,  -   ,  -   ,"  7,965 "
41,Manatee,2124,IMAGINE CHARTER AT LAKEWOOD RANCH                                                                   ,"  8,910 ",  -   ,"  8,910 ",  -   ,  -   ,  -   ,"  8,910 "
41,Manatee,2131,PALMETTO CHARTER SCHOOL                                                                             ,"  6,882 ",  -   ,"  6,882 ",  -   ,  -   ,  -   ,"  6,882 "
41,Manatee,2171,WILLIAM MONROE ROWLETT ACADEMY FOR ARTS AND COMMUNICATION                                           ,"  7,438 ",  -   ,"  7,438 ",  -   ,  -   ,  -   ,"  7,438 "
42,Marion,7023,MARION ELEARNING                                                                                    ,"  4,237 ",  23 ,"  4,260 ",  249 ,  15 ,  264 ,"  4,524 "
42,Marion,0071,ANTHONY ELEMENTARY SCHOOL                                                                           ,"  8,880 ",  735 ,"  9,615 ",  387 ,  67 ,  454 ,"  10,069 "
42,Marion,0091,BELLEVIEW ELEMENTARY SCHOOL                                                                         ,"  7,098 ",  837 ,"  7,935 ",  381 ,  64 ,  445 ,"  8,380 "
42,Marion,0101,BELLEVIEW-SANTOS ELEMENTARY SCHOOL                                                                  ,"  7,340 ",  736 ,"  8,076 ",  334 ,  57 ,  391 ,"  8,467 "
42,Marion,0162,REDDICK-COLLIER ELEMENTARY SCHOOL                                                                   ,"  8,241 ",  885 ,"  9,126 ",  378 ,  67 ,  445 ,"  9,571 "
42,Marion,0181,EAST MARION ELEMENTARY SCHOOL                                                                       ,"  7,241 ",  827 ,"  8,068 ",  345 ,  53 ,  398 ,"  8,466 "
42,Marion,0191,EIGHTH STREET ELEMENTARY SCHOOL                                                                     ,"  7,723 ",  370 ,"  8,093 ",  357 ,  51 ,  408 ,"  8,501 "
42,Marion,0211,FESSENDEN ELEMENTARY SCHOOL                                                                         ,"  6,927 ",  738 ,"  7,665 ",  308 ,  53 ,  361 ,"  8,026 "
42,Marion,0251,WARD-HIGHLANDS ELEMENTARY SCHOOL                                                                    ,"  8,264 ",  699 ,"  8,963 ",  384 ,  61 ,  445 ,"  9,408 "
42,Marion,0291,MADISON STREET ACADEMY OF VISUAL AND PERFORMING ARTS                                                ,"  8,755 ",  342 ,"  9,097 ",  413 ,  60 ,  473 ,"  9,570 "
42,Marion,0311,DR N H JONES ELEMENTARY SCHOOL                                                                      ,"  7,084 ",  187 ,"  7,271 ",  352 ,  34 ,  386 ,"  7,657 "
42,Marion,0341,OAKCREST ELEMENTARY SCHOOL                                                                          ,"  8,272 ","  1,114 ","  9,386 ",  390 ,  65 ,  455 ,"  9,841 "
42,Marion,0381,SPARR ELEMENTARY SCHOOL                                                                             ,"  9,061 ",  894 ,"  9,955 ",  399 ,  69 ,  468 ,"  10,423 "
42,Marion,0391,SOUTH OCALA ELEMENTARY SCHOOL                                                                       ,"  8,223 ",  850 ,"  9,073 ",  389 ,  69 ,  458 ,"  9,531 "
42,Marion,0401,STANTON-WEIRSDALE ELEMENTARY SCHOOL                                                                 ,"  7,318 ",  851 ,"  8,169 ",  361 ,  58 ,  419 ,"  8,588 "
42,Marion,0431,WYOMINA PARK ELEMENTARY SCHOOL                                                                      ,"  7,648 ","  1,243 ","  8,891 ",  324 ,  56 ,  380 ,"  9,271 "
42,Marion,0541,OCALA SPRINGS ELEMENTARY SCHOOL                                                                     ,"  7,610 ",  786 ,"  8,396 ",  385 ,  65 ,  450 ,"  8,846 "
42,Marion,0551,SHADY HILL ELEMENTARY SCHOOL                                                                        ,"  6,996 ",  593 ,"  7,589 ",  356 ,  54 ,  410 ,"  7,999 "
42,Marion,0561,EMERALD SHORES ELEMENTARY SCHOOL                                                                    ,"  7,882 ",  914 ,"  8,796 ",  372 ,  63 ,  435 ,"  9,231 "
42,Marion,0571,SUNRISE ELEMENTARY SCHOOL                                                                           ,"  6,804 ",  694 ,"  7,498 ",  333 ,  57 ,  390 ,"  7,888 "
42,Marion,0581,EVERGREEN ELEMENTARY SCHOOL                                                                         ,"  7,790 ","  1,071 ","  8,861 ",  349 ,  67 ,  416 ,"  9,277 "
42,Marion,0591,HARBOUR VIEW ELEMENTARY SCHOOL                                                                      ,"  7,075 ",  765 ,"  7,840 ",  354 ,  63 ,  417 ,"  8,257 "
42,Marion,0611,MAPLEWOOD ELEMENTARY SCHOOL                                                                         ,"  9,207 ","  1,558 ","  10,765 ",  450 ,  95 ,  545 ,"  11,310 "
42,Marion,0621,ROMEO ELEMENTARY SCHOOL                                                                             ,"  6,792 ",  816 ,"  7,608 ",  343 ,  60 ,  403 ,"  8,011 "
42,Marion,0641,DUNNELLON ELEMENTARY SCHOOL                                                                         ,"  7,839 ",  755 ,"  8,594 ",  377 ,  67 ,  444 ,"  9,038 "
42,Marion,0651,COLLEGE PARK ELEMENTARY SCHOOL                                                                      ,"  7,429 ",  874 ,"  8,303 ",  377 ,  77 ,  454 ,"  8,757 "
42,Marion,0671,GREENWAY ELEMENTARY SCHOOL                                                                          ,"  6,815 ",  784 ,"  7,599 ",  338 ,  56 ,  394 ,"  7,993 "
42,Marion,0681,SADDLEWOOD ELEMENTARY SCHOOL                                                                        ,"  7,062 ",  515 ,"  7,577 ",  344 ,  59 ,  403 ,"  7,980 "
42,Marion,0711,HAMMETT BOWEN JR. ELEMENTARY SCHOOL                                                                 ,"  6,631 ",  577 ,"  7,208 ",  328 ,  51 ,  379 ,"  7,587 "
42,Marion,0731,MARION OAKS ELEMENTARY SCHOOL                                                                       ,"  7,527 ",  738 ,"  8,265 ",  333 ,  66 ,  399 ,"  8,664 "
42,Marion,0741,LEGACY ELEMENTARY SCHOOL                                                                            ,"  6,462 ",  571 ,"  7,033 ",  338 ,  60 ,  398 ,"  7,431 "
42,Marion,0051,HOWARD MIDDLE SCHOOL                                                                                ,"  6,205 ",  477 ,"  6,682 ",  300 ,  45 ,  345 ,"  7,027 "
42,Marion,0172,DUNNELLON MIDDLE SCHOOL                                                                             ,"  7,226 ",  524 ,"  7,750 ",  317 ,  51 ,  368 ,"  8,118 "
42,Marion,0221,FORT KING MIDDLE SCHOOL                                                                             ,"  6,008 ",  534 ,"  6,542 ",  312 ,  47 ,  359 ,"  6,901 "
42,Marion,0281,LAKE WEIR MIDDLE SCHOOL                                                                             ,"  6,099 ",  622 ,"  6,721 ",  309 ,  50 ,  359 ,"  7,080 "
42,Marion,0361,OSCEOLA MIDDLE SCHOOL                                                                               ,"  5,999 ",  208 ,"  6,207 ",  286 ,  30 ,  316 ,"  6,523 "
42,Marion,0491,NORTH MARION MIDDLE SCHOOL                                                                          ,"  6,244 ",  613 ,"  6,857 ",  336 ,  54 ,  390 ,"  7,247 "
